index,state,population,population_mal_18,population_fem_18,population_18,poverty_count,poverty_rate,pop_race_sum,pop_white,pop_black_afr_american,pop_american_indian_alaska,pop_asian,pop_native_hawaiian_pacific_islands
0,Minnesota,5527358,2091001,2144750,4235751,547442,9.904225490731738,5271758,4606044,342186,58982,262359,2187
1,Mississippi,2988762,1082525,1185929,2268454,599795,20.06834267833973,2919736,1751193,1125834,13689,28313,707
2,Missouri,6090062,2279299,2425700,4704999,837930,13.758973225559936,5863572,5008342,704896,26952,116720,6662
3,Montana,1041732,407199,406941,814140,139063,13.349210737502544,1006265,925642,4630,67289,7947,757
4,Nebraska,1904760,707289,724953,1432242,213790,11.223986223986223,1820102,1666463,90860,17282,44105,1392
5,Nevada,2922849,1122541,1125832,2248373,393431,13.460531146152265,2486116,1935103,261123,35845,234693,19352
6,New Hampshire,1343622,530906,550153,1081059,102352,7.6176186457203,1309103,1250014,20516,2090,36124,359
7,New Jersey,8881845,3328844,3579599,6908443,904132,10.179551658467357,8082920,6031747,1196764,18649,832403,3357
8,New Mexico,2092434,783884,814386,1598270,410389,19.612996156629073,1834815,1558886,43006,199896,31513,1514
9,New York,19618453,7403068,8073752,15476820,2797985,14.262006285612836,17301050,12514949,3068099,79644,1630341,8017
10,North Carolina,10155624,3774214,4088794,7863008,1523949,15.005961228970273,9584417,6994240,2179622,121352,282264,6939
11,North Dakota,752201,296877,281606,578483,79270,10.538406622697922,726367,655268,20445,39462,10814,378
12,Ohio,11641879,4364815,4658896,9023711,1645986,14.13849087419651,11204998,9489832,1438271,23563,249741,3591
13,Oklahoma,3918137,1450765,1508666,2959431,607810,15.51272964676835,3508270,2837772,287959,294676,83392,4471
14,Oregon,4081943,1577960,1635805,3213765,565247,13.847498605443535,3761199,3445933,77789,46961,174510,16006
15,Pennsylvania,12791181,4893508,5222343,10115851,1578949,12.344043915882358,12221607,10341442,1423319,24847,427892,4107
16,Rhode Island,1056611,406288,441454,847742,133055,12.592619232622035,965766,854502,69254,5484,35663,863
17,South Carolina,4955925,1847264,2012410,3859674,770632,15.549710699818904,4767120,3332986,1339360,16686,75084,3004
18,South Dakota,864289,326238,324985,651223,113144,13.090991554908138,834587,730062,16241,75331,12660,293
19,Tennessee,6651089,2477081,2672614,5149695,1046508,15.734385752468505,6418289,5166231,1117489,17848,112915,3806
20,Texas,27885195,10129834,10462675,20592509,4213938,15.111739401499612,25554462,20720689,3365783,136061,1308257,23672
21,Utah,3045350,1060641,1065660,2126301,309904,10.176301574531664,2797481,2632056,35862,32657,69810,27096
22,Vermont,624977,246957,259674,506631,67034,10.725834710717354,610473,589546,8058,2106,10579,184
23,Virginia,8413774,3184488,3361859,6546347,893580,10.620442146413726,7896097,5722660,1613285,22972,531503,5677
24,West Virginia,1829054,712793,742888,1455681,315464,17.247385807089348,1789625,1704345,66728,3668,14534,350
25,Washington,7294336,2809923,2851538,5661461,821621,11.263821683015424,6566371,5545997,269854,95048,607429,48043
26,Wisconsin,5778394,2212792,2276659,4489451,668220,11.564112796739025,5526463,4945966,368744,50422,159356,1975
27,Wyoming,581836,225915,218202,444117,63311,10.88124488687534,556896,532008,5540,14053,4756,539
28,Puerto Rico,3386941,1261480,1437516,2698996,1495160,44.144849290259266,2664221,2283720,365010,8504,6684,303
29,Alabama,4864680,1795291,1970596,3765887,829400,17.049425655952703,4703006,3317453,1293186,25576,64609,2182
30,Alaska,738516,289887,262491,552378,77865,10.543441171213622,665028,478834,24129,106660,46556,8849
31,Arizona,6946685,2620346,2692556,5312902,1092192,15.72249209515042,6221979,5364141,305259,309580,228887,14112
32,Arkansas,2990671,1107129,1177599,2284728,510337,17.06429761080373,2835838,2302874,460970,20037,43988,7969
33,California,39148760,14817745,15257360,30075105,5487141,14.016129757366517,31851123,23529068,2267875,296475,5604339,153366
34,Colorado,5531141,2136062,2135260,4271322,590504,10.675988914403014,5118996,4655584,227938,54483,172695,8296
35,Connecticut,3581504,1362169,1466710,2828879,348449,9.72912497096192,3282830,2734880,378262,9698,158817,1173
36,Delaware,949495,356415,389654,746069,109798,11.563831299796208,905452,654905,209892,3455,36723,477
37,District of Columbia,684498,263405,299356,562761,109497,15.996686622897364,630837,280469,321317,1993,26718,340
38,Florida,20598139,7953307,8496280,16449587,2983851,14.486022256670857,19475647,15529098,3316376,58118,559168,12887
39,Georgia,10297484,3737650,4058539,7796189,1607714,15.61268752638994,9761356,6079976,3239300,33484,402501,6095
40,Idaho,1687809,621321,627312,1248633,228882,13.560894627294912,1588107,1527262,11536,22790,23758,2761
41,Hawaii,1422029,556430,559098,1115528,137516,9.670407565527848,1064981,355612,26266,2987,536842,143274
42,Illinois,12821497,4802720,5092216,9894936,1635603,12.75672411731641,11740578,9189185,1824125,31864,690822,4582
43,Indiana,6637426,2465415,2597718,5063133,908359,13.685410579342053,6330483,5548277,619472,14925,144991,2818
44,Iowa,3132499,1181787,1220680,2402467,353634,11.28919753845093,3027561,2827889,109911,11549,75083,3129
45,Kansas,2908776,1083357,1109874,2193231,350280,12.04217856582975,2740144,2460619,169801,24050,83531,2143
46,Kentucky,4440204,1667498,1760687,3428185,772080,17.38839026315007,4296292,3866676,354112,9888,62802,2814
47,Louisiana,4663616,1715111,1840031,3555142,878394,18.835041307002978,4511634,2901106,1502916,26272,79872,1468
48,Maine,1332813,521605,556547,1078152,161743,12.13546086360202,1300635,1259217,17881,8302,14917,318
49,Maryland,6003435,2224460,2434798,4659258,553496,9.219655080799576,5554251,3373181,1788090,15644,374277,3059
50,Massachusetts,6830193,2609091,2841205,5450296,710305,10.399486515241955,6329960,5360006,510558,14493,442574,2329
51,Michigan,9957488,3775507,3985883,7761390,1457008,14.632284769010015,9554629,7818588,1375424,53235,304403,2979
