state,_votes,population,percentage of voters, per_population_18,per_population_mal_18,per_population_fem_18,per_poverty_rate,per_pop_white,per_pop_black_afr_american,per_pop_american_indian_alaska,per_pop_asian,per_pop_native_hawaiian_pacific_islands
Mississippi,1315240,2988762,0.440061805,0.758994527,0.477208266,0.522791734,0.200683427,0.599777857,0.385594451,0.004688438,0.00969711,0.000242145
New Mexico,923829,2092434,0.441509266,0.763832933,0.490457808,0.509542192,0.196129962,0.849614811,0.023438875,0.108946134,0.017175029,0.000825151
Louisiana,2148062,4663616,0.460600101,0.762314479,0.482431082,0.517568918,0.188350413,0.643027781,0.333120107,0.005823167,0.017703564,0.000325381
Kentucky,2136768,4440204,0.481231943,0.772078265,0.486408406,0.513591594,0.173883903,0.900003072,0.082422703,0.00230152,0.014617722,0.000654983
West Virginia,794204,1829054,0.43421572,0.795865513,0.489662914,0.510337086,0.172473858,0.952347559,0.037286024,0.002049591,0.008121254,0.000195572
Arkansas,1217613,2990671,0.407137061,0.763951635,0.484578033,0.515421967,0.170642976,0.812061197,0.162551599,0.007065636,0.015511464,0.002810104
Alabama,2309900,4864680,0.474830821,0.774128411,0.476724607,0.523275393,0.170494257,0.705389914,0.274970094,0.005438224,0.013737809,0.000463959
District of Columbia,333682,684498,0.487484259,0.822151416,0.468058376,0.531941624,0.159966866,0.444598208,0.509350276,0.003159295,0.042353254,0.000538966
Tennessee,3049514,6651089,0.45849845,0.774263433,0.481015089,0.518984911,0.157343858,0.804923399,0.174110109,0.002780803,0.017592695,0.000592993
Arizona,3385845,6946685,0.487404424,0.764811129,0.493204279,0.506795721,0.157224921,0.862127789,0.0490614,0.049755873,0.036786849,0.002268089
Georgia,4998566,10297484,0.485416243,0.757096491,0.479420137,0.520579863,0.156126875,0.622861824,0.331849386,0.003430261,0.041234128,0.000624401
South Carolina,2513329,4955925,0.507136206,0.778799921,0.478606224,0.521393776,0.155497107,0.699161339,0.280957895,0.003500227,0.01575039,0.00063015
Oklahoma,1560699,3918137,0.398326807,0.755315855,0.490217545,0.509782455,0.155127296,0.80888073,0.082080057,0.083994675,0.02377012,0.001274417
Texas,11323963,27885195,0.406092301,0.738474628,0.491918396,0.508081604,0.151117394,0.810844267,0.131710188,0.005324354,0.051194856,0.000926335
North Carolina,5524813,10155624,0.544015119,0.774251587,0.479996205,0.520003795,0.150059612,0.72975122,0.227413102,0.012661386,0.029450305,0.000723988
Michigan,5544102,9957488,0.556777171,0.779452609,0.486447273,0.513552727,0.146322848,0.818303672,0.143953679,0.005571645,0.031859217,0.000311786
Florida,11067456,20598139,0.537303686,0.798595786,0.483495847,0.516504153,0.144860223,0.7973598,0.170283226,0.002984137,0.028711139,0.000661698
New York,7073212,19618453,0.360538723,0.788890949,0.478332629,0.521667371,0.142620063,0.723363553,0.177336,0.00460342,0.094233645,0.000463382
Ohio,5925806,11641879,0.509007695,0.775107781,0.483705096,0.516294904,0.141384909,0.846928487,0.128359773,0.002102901,0.022288357,0.000320482
California,17329313,39148760,0.442652922,0.768226248,0.49269138,0.50730862,0.140161298,0.738720201,0.071202356,0.009308149,0.175954204,0.004815089
Oregon,2385441,4081943,0.584388611,0.787312562,0.491000431,0.508999569,0.138474986,0.916179389,0.020681969,0.012485646,0.046397439,0.004255558
Missouri,3028133,6090062,0.497225316,0.772569967,0.484441973,0.515558027,0.137589732,0.854145221,0.120216141,0.004596516,0.019905955,0.001136168
Indiana,3035088,6637426,0.457268827,0.762815736,0.486934671,0.513065329,0.136854106,0.87643818,0.097855409,0.00235764,0.022903624,0.000445148
Idaho,868105,1687809,0.514338412,0.739795202,0.497600976,0.502399024,0.135608946,0.96168709,0.007263994,0.014350418,0.014959949,0.001738548
Nevada,1405376,2922849,0.480824018,0.769240217,0.499268137,0.500731863,0.134605311,0.778363922,0.105032509,0.014418072,0.094401468,0.007784029
Montana,605750,1041732,0.581483529,0.781525383,0.500158449,0.499841551,0.133492107,0.919878958,0.004601174,0.066870059,0.007897522,0.000752287
South Dakota,422609,864289,0.488967232,0.753478293,0.500962036,0.499037964,0.130909916,0.874758413,0.019459924,0.090261411,0.015169179,0.000351072
Illinois,7170200,12821497,0.55923267,0.771745764,0.485371507,0.514628493,0.127567241,0.782685912,0.155369267,0.002714006,0.058840544,0.00039027
Rhode Island,513602,1056611,0.486084283,0.802321763,0.47925902,0.52074098,0.125926192,0.884791968,0.071708882,0.005678394,0.036927165,0.000893591
Pennsylvania,6915533,12791181,0.540648514,0.79084574,0.483746548,0.516253452,0.123440439,0.846160574,0.116459235,0.002033039,0.035011108,0.000336044
Maine,786952,1332813,0.590444421,0.808929685,0.48379542,0.51620458,0.121354609,0.968155555,0.0137479,0.006383036,0.011469013,0.000244496
Kansas,1334330,2908776,0.458725595,0.754004777,0.493954809,0.506045191,0.120421786,0.897988938,0.061967911,0.008776911,0.030484164,0.000782076
Wisconsin,3297434,5778394,0.570648869,0.776937502,0.492886992,0.507113008,0.115641128,0.894960484,0.066723327,0.009123738,0.02883508,0.000357371
Delaware,504010,949495,0.530819014,0.785753479,0.47772391,0.52227609,0.115638313,0.723290688,0.231809085,0.003815774,0.040557644,0.000526809
Iowa,1688310,3132499,0.538965854,0.766949008,0.491905612,0.508094388,0.112891975,0.934048563,0.03630348,0.003814622,0.024799831,0.001033505
Washington,4053056,7294336,0.55564427,0.776144806,0.496324712,0.503675288,0.112638217,0.8446061,0.041096368,0.014474966,0.092506043,0.007316522
Nebraska,951390,1904760,0.499480249,0.751927802,0.493833444,0.506166556,0.112239862,0.915587698,0.049920279,0.009495072,0.024232158,0.000764792
Wyoming,276765,581836,0.475675276,0.763302718,0.508683523,0.491316477,0.108812449,0.955309429,0.009947997,0.025234514,0.008540194,0.000967865
Vermont,367428,624977,0.587906435,0.810639432,0.487449445,0.512550555,0.107258347,0.965720024,0.013199601,0.003449784,0.017329186,0.000301406
Colorado,3256108,5531141,0.588686493,0.772231625,0.500093882,0.499906118,0.106759889,0.909472092,0.044527872,0.010643298,0.033736108,0.00162063
Virginia,4460524,8413774,0.53014545,0.778051205,0.486452674,0.513547326,0.106204421,0.724745403,0.204314233,0.002909285,0.067312116,0.000718963
Alaska,356796,738516,0.483125619,0.747956713,0.524798236,0.475201764,0.105434412,0.720020811,0.036282683,0.160384224,0.070006075,0.013306207
North Dakota,361819,752201,0.481013718,0.76905375,0.513199178,0.486800822,0.105384066,0.902116974,0.028146928,0.054327909,0.014887791,0.000520398
Massachusetts,3549597,6830193,0.51969205,0.797971009,0.478706294,0.521293706,0.103994865,0.846767752,0.080657382,0.002289588,0.069917345,0.000367933
New Jersey,4551202,8881845,0.512416283,0.777816208,0.481851555,0.518148445,0.101795517,0.746233663,0.148060849,0.002307211,0.102982957,0.00041532
Utah,1487696,3045350,0.488513964,0.698212357,0.498819781,0.501180219,0.101763016,0.940866444,0.01281939,0.011673716,0.024954593,0.009685857
Minnesota,3268708,5527358,0.591368969,0.766324707,0.493655316,0.506344684,0.099042255,0.873720683,0.064909277,0.011188298,0.04976689,0.000414852
Connecticut,1824826,3581504,0.50951388,0.789857836,0.481522539,0.518477461,0.09729125,0.833086087,0.115224364,0.002954158,0.048378076,0.000357314
Hawaii,574469,1422029,0.4039784,0.784462202,0.498804154,0.501195846,0.096704076,0.333913938,0.024663351,0.002804745,0.504085988,0.134531978
Maryland,3006926,6003435,0.500867587,0.776098684,0.477427951,0.522572049,0.092196551,0.60731519,0.321931796,0.002816581,0.067385684,0.000550749
New Hampshire,804430,1343622,0.598702611,0.804585665,0.491098081,0.508901919,0.076176186,0.954862986,0.0156718,0.001596513,0.027594467,0.000274234
